,0,400,800,1200,1600,2000,2400,2800
448,0.000874,0.000818,0.001942,0.002247,0.00283,0.002663,0.005174,0.005077
450,0.000888,0.000791,0.001567,0.002095,0.001748,0.002774,0.004078,0.005618
452,0.000638,0.000319,0.000666,0.001276,0.000652,0.000888,0.003024,0.003066
454,0.000666,0.000264,0.000444,0.000513,0.000583,0.00061,0.002053,0.002455
456,0.000416,0.000375,0.000541,0.000596,0.000416,0.000402,0.001887,0.0024
458,0.000541,0.000291,0.000333,0.000513,0.000513,0.000569,0.00233,0.002178
460,0.000472,0.000333,0.000749,0.00086,0.000777,0.001124,0.002913,0.004078
462,0.000388,0.000444,0.000624,0.000832,0.000735,0.000818,0.002386,0.002788
464,0.000444,0.000236,0.000388,0.00043,0.000388,0.000402,0.002122,0.002594
466,0.000416,0.000333,0.000444,0.000583,0.00068,0.000916,0.001554,0.002081
468,0.000486,0.000222,0.000402,0.000416,0.000361,0.000527,0.00129,0.001498
470,0.000472,0.000125,0.00043,0.000375,0.000291,0.000499,0.001124,0.001248
472,0.00043,0.000333,0.00068,0.000388,0.000763,0.000652,0.001082,0.001318
474,0.000277,0.00043,0.000971,0.001096,0.001429,0.001678,0.001443,0.001429
476,0.000291,0.000361,0.000902,0.001124,0.000791,0.001193,0.001346,0.002011
478,0.000305,0.000555,0.000652,0.000902,0.000721,0.000791,0.000916,0.001013
480,0.000319,0.000444,0.000666,0.000943,0.000763,0.000971,0.000929,0.00147
482,0.000305,0.00043,0.000541,0.000707,0.00086,0.001027,0.001096,0.001526
484,0.000277,0.000291,0.000361,0.000486,0.000541,0.000749,0.000846,0.001776
486,0.000402,0.000236,0.00043,0.000361,0.000333,0.000264,0.00068,0.001027
488,0.000361,0.000319,0.000388,0.000458,0.000555,0.000486,0.001318,0.001484
490,0.000264,0.000208,0.00043,0.000416,0.000388,0.00086,0.000943,0.001651
492,0.000319,0.000222,0.000388,0.000236,0.000416,0.000499,0.000985,0.000957
494,0.000388,0.000361,0.000735,0.000638,0.000846,0.000749,0.001179,0.001332
496,0.000319,0.000402,0.00104,0.00086,0.001346,0.001637,0.001567,0.001692
498,0.000236,0.000416,0.000818,0.001124,0.000985,0.001207,0.001373,0.002219
500,0.000277,0.000319,0.000624,0.000735,0.000985,0.000777,0.001262,0.001956
502,0.000222,0.000333,0.000846,0.000985,0.000929,0.00129,0.001304,0.001415
504,0.000305,0.00025,0.000791,0.000916,0.000527,0.000902,0.000888,0.001387
506,0.000319,0.000166,0.000472,0.000347,0.000264,0.000361,0.00068,0.000971
508,0.00025,0.000166,0.000277,0.000264,0.000264,0.000264,0.000721,0.001179
510,0.00018,0.000208,0.000402,0.000222,0.000194,0.000347,0.000888,0.001082
512,0.000194,0.000305,0.000402,0.000305,0.000541,0.00086,0.001235,0.001512
514,0.000333,0.000166,0.000541,0.000624,0.000416,0.000805,0.000985,0.001651
516,0.000222,0.000222,0.000333,0.000388,0.000388,0.000388,0.000888,0.000943
518,0.000222,0.000208,0.000388,0.000305,0.000347,0.000569,0.001054,0.001221
520,0.000277,0.000208,0.00043,0.000333,0.000527,0.000818,0.000888,0.001304
522,0.000194,0.000222,0.000375,0.000222,0.000347,0.000416,0.000596,0.000985
524,0.000111,0.000208,0.000416,0.000375,0.000388,0.000513,0.000638,0.000818
526,0.000264,0.000222,0.000902,0.000735,0.001415,0.001415,0.001082,0.001332
528,0.00025,0.00061,0.000902,0.000888,0.001082,0.001387,0.001359,0.001831
530,0.00018,0.000264,0.000555,0.000555,0.00061,0.000749,0.000638,0.001387
532,0.000222,0.000236,0.000624,0.000943,0.000846,0.000805,0.000749,0.001068
534,0.000125,0.000291,0.000388,0.000791,0.000721,0.000832,0.000694,0.001498
536,0.000166,0.000236,0.00025,0.000375,0.000333,0.000513,0.000527,0.000999
538,0.000111,0.000194,0.000305,0.000375,0.000305,0.000208,0.000527,0.00086
540,0.000236,0.000153,0.000194,0.000194,0.000277,0.000194,0.000888,0.000707
542,0.000097,0.000139,0.000319,0.000208,0.000333,0.00025,0.000791,0.001304
544,0.000139,0.00018,0.000222,0.000208,0.000208,0.000166,0.00061,0.000763
546,0.000277,0.000208,0.000208,0.000139,0.00018,0.000153,0.000596,0.000583
548,0.000166,0.000125,0.000236,0.00025,0.000236,0.000388,0.000499,0.000721
550,0.000125,0.00018,0.000333,0.000277,0.000319,0.000277,0.000583,0.000707
552,0.000194,0.000208,0.000264,0.000236,0.000222,0.00025,0.000472,0.000486
554,0.000139,0.000139,0.000153,0.00025,0.00018,0.000208,0.00025,0.000444
556,0.000208,0.00018,0.000236,0.00018,0.000194,0.000347,0.000388,0.000305
558,0.000069,0.000125,0.000347,0.000222,0.000111,0.000264,0.000264,0.000499
560,0.000194,0.000208,0.000125,0.000153,0.000194,0.000139,0.000222,0.000375
562,0.00018,0.000097,0.000208,0.000111,0.000111,0.00018,0.000236,0.000166
564,0.000166,0.00018,0.000194,0.000194,0.000264,0.000166,0.000236,0.000333
566,0.000111,0.000097,0.000153,0.000194,0.00018,0.000277,0.00018,0.000402
568,0.000125,0.000083,0.000222,0.000208,0.000194,0.00018,0.000236,0.000319
570,0.00018,0.00025,0.000264,0.000125,0.000125,0.000166,0.000166,0.00025
572,0.000111,0.000153,0.00018,0.000166,0.00018,0.00018,0.000222,0.000347
574,0.000111,0.000083,0.000111,0.000236,0.000125,0.000222,0.000208,0.00043
576,0.000139,0.000083,0.000277,0.000153,0.000222,0.000194,0.00025,0.000444
578,0.000111,0.000153,0.000264,0.000236,0.000208,0.000319,0.000333,0.000319
580,0.000125,0.000125,0.000236,0.000388,0.000361,0.000347,0.000347,0.000527
582,0.000208,0.00018,0.000236,0.000194,0.000264,0.000291,0.000236,0.000472
584,0.000139,0.000166,0.000139,0.00025,0.000264,0.000194,0.000236,0.000291
586,0.000111,0.000194,0.000236,0.000153,0.000444,0.00025,0.00025,0.00043
588,0.000166,0.000166,0.000208,0.000194,0.00018,0.000194,0.000305,0.000375
590,0.00018,0.000166,0.000083,0.000139,0.000125,0.000083,0.000166,0.000347
592,0.000055,0.000125,0.000222,0.000111,0.000208,0.000111,0.000208,0.000291
594,0.000153,0.000125,0.000097,0.000083,0.000097,0.000111,0.000402,0.000319
596,0.000069,0.000153,0.000097,0.000097,0.000097,0.000069,0.000222,0.000277
598,0.000097,0.000111,0.000111,0.000139,0.000125,0.000097,0.000153,0.00025
600,0.000166,0.000139,0.000153,0.000166,0.000208,0.000166,0.000153,0.000305
602,0.000125,0.000083,0.000111,0.000194,0.000166,0.000264,0.000208,0.000319
604,0.000083,0.000083,0.000194,0.000139,0.00018,0.000153,0.000222,0.000416
606,0.000125,0.000083,0.000166,0.000153,0.000042,0.000083,0.000083,0.000125
608,0.000125,0.000097,0.000083,0.000139,0.000097,0.000125,0.000153,0.000277
610,0.000125,0.000083,0.000097,0.00018,0.00018,0.000194,0.000208,0.000236
612,0.000111,0.000028,0.000166,0.000222,0.000166,0.000166,0.000125,0.000333
614,0.000083,0.000055,0.000125,0.000069,0.000083,0.000125,0.000153,0.000166
616,0.000125,0.000028,0.000083,0.000097,0.000125,0.00018,0.000166,0.000069
618,0.000097,0.000097,0.000111,0.000125,0.000069,0.000055,0.00018,0.000264
620,0.000111,0.000125,0.000097,0.000069,0.000125,0.000083,0.000194,0.000277
622,0.000194,0.000055,0.000166,0.000097,0.000083,0.000083,0.000097,0.000111
624,0.000069,0.000111,0.000125,0.000153,0.000083,0.000042,0.000153,0.00018
626,0.000042,0.000028,0.000111,0.000111,0.000069,0.000083,0.00025,0.000222
628,0.000111,0.000069,0.000069,0.000042,0.000042,0.000028,0.000111,0.000194
630,0.000097,0.000069,0.000222,0.000139,0.000111,0.000097,0.000083,0.000153
632,0.000097,0.000111,0.000083,0.000111,0.000153,0.000111,0.000166,0.000069
634,0.000097,0.000097,0.000125,0.000139,0.000153,0.000111,0.000097,0.00025
636,0.000028,0.000055,0.000111,0.000097,0.000028,0.000097,0.000083,0.000264
638,0.000097,0.000042,0.000208,0.000139,0.000042,0.000055,0.000083,0.000055
640,0.000166,0.000111,0.000111,0.000055,0.000069,0.000111,0.000139,0.000153
642,0.000083,0.000042,0.000153,0.000069,0.000055,0.000042,0.000125,0.000125
644,0.000055,0.000055,0.000083,0.000097,0.000069,0.000139,0.000055,0.000139
646,0.000069,0.000069,0.000083,0.000097,0.000083,0.000042,0.000069,0.000055
648,0.000083,0.000111,0.000097,0.000125,0.000111,0.000083,0.000125,0.000097
650,0.000083,0.000055,0.000111,0.000083,0.000069,0.000055,0.000055,0.000111
652,0.000111,0.000028,0.000097,0.000083,0.000055,0.000069,0.000097,0.000028
654,0.000042,0.000083,0.000069,0.000111,0.000083,0.000055,0.000139,0.000111
656,0.000111,0.000083,0.000125,0.000069,0.000083,0.000042,0.000083,0.000208
658,0.000111,0.000042,0.000069,0.000028,0.000055,0.000194,0.000111,0.000153
660,0.000111,0.000111,0.000139,0.000069,0.000042,0.000055,0.000083,0.000028
662,0.000083,0.000083,0.000111,0.000125,0.000028,0.000125,0.000097,0.000042
664,0.000055,0,0.000125,0.000069,0.000042,0.000055,0.000153,0.000069
666,0.000097,0.000125,0.000069,0.000069,0.000028,0.000097,0.000069,0.000153
668,0.000139,0,0.000083,0.000055,0.000014,0.000069,0.000083,0.000055
670,0.000028,0.000055,0.000042,0.000097,0.000055,0,0.000083,0.000097
672,0.000083,0.000069,0.000069,0.000014,0.000083,0.000028,0.000069,0.000153
674,0.000042,0.000042,0.000139,0.000069,0.000055,0.000028,0.000028,0.000083
676,0.000055,0.000055,0.000111,0.000014,0.000042,0.000055,0.000042,0.000028
678,0.000042,0.000042,0.000055,0.000166,0.000055,0.000055,0.000042,0.000097
680,0.000055,0.000055,0.000083,0.000069,0.000028,0.000083,0.000014,0.000069
682,0.000028,0.000042,0.000028,0.000042,0.000055,0.000055,0.000069,0.000014
684,0.000042,0.000069,0.000139,0.000055,0.000069,0.000111,0.000028,0.000055
