overflow 1ms,,,
,over 200us,over 500us,over 1ms
491,0.075489,0.00086,0.00068
492,0.077001,0.000888,0.000735
493,0.07499,0.000888,0.000763
494,0.074935,0.000916,0.000707
495,0.075267,0.000596,0.000458
496,0.074935,0.000846,0.000749
497,0.076211,0.000888,0.000694
498,0.075032,0.000874,0.000763
499,0.076169,0.000624,0.000486
500,0.081732,0.003426,0.001678
501,0.077057,0.000971,0.000777
502,0.076488,0.001165,0.00068
503,0.077542,0.003066,0.002552
504,0.07775,0.003399,0.002705
505,0.075628,0.000874,0.000638
506,0.076488,0.000957,0.000791
507,0.074935,0.000888,0.000791
508,0.077182,0.000818,0.000624
509,0.076225,0.00111,0.00086
510,0.075351,0.00104,0.000805
511,0.07481,0.000596,0.000458
512,0.076211,0.000916,0.000694
513,0.077057,0.001276,0.001013
514,0.074851,0.000818,0.000583
515,0.077362,0.000971,0.000777
516,0.076238,0.000513,0.000375
517,0.075697,0.000916,0.000721
518,0.077972,0.001068,0.000749
519,0.075448,0.000999,0.000735
520,0.077376,0.002622,0.002095
521,0.077418,0.001082,0.00086
522,0.077778,0.001054,0.000846
523,0.076225,0.000874,0.000694
524,0.075975,0.001082,0.000735
525,0.077612,0.000777,0.000541
526,0.077307,0.000721,0.000638
527,0.077487,0.000874,0.000694
528,0.077584,0.000916,0.000805
529,0.076474,0.000596,0.000402
530,0.07671,0.00086,0.000749
531,0.078735,0.000638,0.000513
532,0.077043,0.000777,0.00061
533,0.078749,0.003093,0.002608
534,0.077029,0.00104,0.000791
535,0.076405,0.000874,0.000749
536,0.076474,0.001248,0.001013
537,0.076682,0.000721,0.000555
538,0.076918,0.000721,0.000583
539,0.076155,0.000694,0.00061
540,0.07671,0.000666,0.000541
541,0.078652,0.000818,0.00068
542,0.075767,0.000638,0.000569
543,0.07732,0.000916,0.000749
544,0.076238,0.000402,0.000347
545,0.078444,0.001013,0.00086
546,0.078416,0.000735,0.000583
547,0.077209,0.000707,0.000555
548,0.077265,0.000721,0.000513
549,0.07653,0.000721,0.00061
550,0.076474,0.000707,0.000486
551,0.07671,0.00086,0.00068
552,0.077834,0.000832,0.000596
553,0.076585,0.000569,0.000472
554,0.083049,0.00197,0.001304
555,0.07825,0.001096,0.000902
556,0.076863,0.000943,0.000707
557,0.076044,0.000874,0.000596
558,0.078347,0.000874,0.000638
559,0.080525,0.003024,0.002358
560,0.077917,0.003024,0.002372
561,0.08402,0.003177,0.001789
562,0.076752,0.000874,0.000569
563,0.078083,0.000777,0.000444
564,0.076641,0.001248,0.001013
565,0.083798,0.003357,0.001692
566,0.076266,0.000929,0.000513
567,0.075184,0.001013,0.000652
568,0.075711,0.000985,0.000694
569,0.080747,0.002955,0.00233
570,0.077445,0.00111,0.000721
571,0.077986,0.001068,0.000777
572,0.077418,0.001082,0.000652
573,0.087419,0.013885,0.013234
574,0.079013,0.000971,0.000583
575,0.078111,0.003315,0.002719
576,0.078999,0.001776,0.001151
577,0.080608,0.002594,0.00111
578,0.082578,0.002358,0.001276
579,0.076696,0.001706,0.001082
580,0.078444,0.001443,0.000805
581,0.077376,0.001137,0.000749
582,0.077612,0.001637,0.000957
583,0.080844,0.003496,0.002566
584,0.080622,0.003565,0.002552
585,0.092316,0.016438,0.015189
586,0.079124,0.005438,0.00437
587,0.079609,0.002982,0.002344
588,0.077931,0.001151,0.000874
589,0.086545,0.013983,0.013358
590,0.075226,0.000874,0.000596
591,0.074837,0.001096,0.000902
592,0.076197,0.001137,0.000805
593,0.075323,0.003371,0.002774
594,0.078028,0.000874,0.000541
595,0.076225,0.000902,0.000666
596,0.07474,0.000818,0.00061
597,0.075975,0.001318,0.001068
598,0.077695,0.003066,0.002441
599,0.075448,0.001082,0.000818
600,0.076072,0.001248,0.000818
601,0.078347,0.000957,0.000638
602,0.075906,0.00301,0.002483
603,0.075697,0.000846,0.000569
604,0.078513,0.00308,0.0024
605,0.076017,0.000943,0.000596
606,0.074976,0.000888,0.000666
607,0.074976,0.00086,0.00068
608,0.077418,0.001221,0.000694
609,0.086434,0.004481,0.001706
610,0.076086,0.001193,0.000707
611,0.074602,0.000735,0.000472
612,0.074088,0.000805,0.000569
613,0.087072,0.003274,0.001692
614,0.078139,0.002053,0.001179
615,0.079027,0.001914,0.001054
616,0.080622,0.00584,0.004467
617,0.081385,0.003801,0.002705
618,0.08237,0.003038,0.001443
619,0.076558,0.001276,0.00086
620,0.084256,0.004439,0.002955
621,0.080317,0.003676,0.002788
622,0.074532,0.000902,0.000666
623,0.077529,0.00086,0.000638
624,0.07689,0.001124,0.000832
625,0.080386,0.001678,0.000929
626,0.078597,0.00104,0.000832
627,0.084118,0.007061,0.005757
628,0.076988,0.000999,0.000721
629,0.081662,0.005465,0.0043
630,0.079956,0.002053,0.001276
631,0.079179,0.001429,0.000902
632,0.080566,0.003607,0.002636
633,0.08384,0.006242,0.004689
634,0.077043,0.001124,0.000846
635,0.075697,0.001137,0.000916
636,0.081288,0.005798,0.0043
637,0.078375,0.002885,0.00233
638,0.075323,0.000902,0.00068
639,0.074824,0.000916,0.000763
640,0.076252,0.001013,0.000707
641,0.07542,0.003163,0.002483
642,0.075919,0.000999,0.000721
643,0.076613,0.001027,0.000749
644,0.074921,0.001013,0.000555
645,0.076974,0.00111,0.000749
646,0.078083,0.001651,0.000832
647,0.078056,0.001373,0.00068
648,0.076502,0.001373,0.000943
649,0.079484,0.003024,0.002441
650,0.075378,0.001151,0.000943
651,0.076349,0.000943,0.000818
652,0.075392,0.000929,0.000638
653,0.080566,0.002927,0.001346
654,0.075836,0.003024,0.002428
655,0.081704,0.001859,0.001027
656,0.077071,0.001429,0.000846
657,0.075462,0.000805,0.000638
658,0.078874,0.002747,0.002303
659,0.078056,0.003343,0.002663
660,0.079054,0.005493,0.004439
661,0.078597,0.000985,0.000763
662,0.074879,0.000943,0.000694
663,0.079803,0.005188,0.004286
664,0.075808,0.000999,0.000749
665,0.084589,0.004023,0.001415
