overflow 1ms,,
,over 400us,over 1ms
772,0.039895,0.002539
773,0.044889,0.005882
774,0.036968,0.003829
775,0.041102,0.003537
776,0.038646,0.00455
777,0.044875,0.005604
778,0.04819,0.007116
779,0.039687,0.002802
780,0.035151,0.003995
781,0.038286,0.004286
782,0.040727,0.004217
783,0.040991,0.003135
784,0.033458,0.002164
785,0.03626,0.002941
786,0.038896,0.002206
787,0.032723,0.003107
788,0.039576,0.002899
789,0.037564,0.002067
790,0.036316,0.002885
791,0.036996,0.002871
792,0.036746,0.001609
793,0.038688,0.007061
794,0.041948,0.003607
795,0.040311,0.0043
796,0.035123,0.005604
797,0.037065,0.001595
798,0.036371,0.005452
799,0.038646,0.003704
800,0.04149,0.008628
801,0.04629,0.011014
802,0.039271,0.005701
803,0.044417,0.007699
804,0.039631,0.004855
805,0.044556,0.007241
806,0.035858,0.004231
807,0.037218,0.004536
808,0.039229,0.008365
809,0.036954,0.00301
810,0.041199,0.00437
811,0.033458,0.005243
812,0.044209,0.006034
813,0.036163,0.004827
814,0.040061,0.005063
815,0.037925,0.003412
816,0.034748,0.006076
817,0.032876,0.005452
818,0.033861,0.003052
819,0.045319,0.005299
820,0.033444,0.004092
821,0.032571,0.00319
822,0.03418,0.002441
823,0.036982,0.00301
824,0.038771,0.005202
825,0.038286,0.002996
826,0.035123,0.001831
827,0.037107,0.00609
828,0.034083,0.004023
829,0.034305,0.004938
830,0.03823,0.007643
831,0.041906,0.004578
832,0.040297,0.003801
833,0.036011,0.003773
834,0.034929,0.003759
835,0.038619,0.003745
836,0.046803,0.0067
837,0.053974,0.005535
838,0.048259,0.004411
839,0.040408,0.003052
840,0.035123,0.003177
841,0.039368,0.005049
842,0.037384,0.003288
843,0.04321,0.004189
844,0.041573,0.004314
845,0.038813,0.006783
846,0.039271,0.004966
847,0.037218,0.003731
848,0.033528,0.003537
849,0.043252,0.006686
850,0.037759,0.004675
851,0.042974,0.004869
852,0.041129,0.008309
853,0.038272,0.002219
854,0.041754,0.005673
855,0.04174,0.004689
856,0.043474,0.007366
857,0.049522,0.010681
858,0.037537,0.003399
859,0.037981,0.003953
860,0.050618,0.009932
861,0.042947,0.007407
862,0.045527,0.007269
863,0.039298,0.00627
864,0.037537,0.003121
865,0.044223,0.005382
866,0.044264,0.004994
867,0.038535,0.005133
868,0.040755,0.006506
869,0.037897,0.005257
870,0.044209,0.006006
871,0.044098,0.006506
872,0.037453,0.003399
873,0.03737,0.00516
874,0.050631,0.008226
875,0.051381,0.006256
876,0.046886,0.006686
877,0.041587,0.003801
878,0.040297,0.002871
879,0.035567,0.00387
880,0.039465,0.004189
881,0.047372,0.006117
882,0.034956,0.004772
883,0.036274,0.005784
884,0.046248,0.005854
885,0.038244,0.006686
886,0.034124,0.003537
887,0.045305,0.005798
888,0.044889,0.006866
889,0.043058,0.003426
