,0,400,800,1200,1600,2000,
392,0.000916,0.001054,0.000805,0.000874,0.000874,0.000791,0.000694
394,0.000846,0.00086,0.000472,0.000569,0.000596,0.000652,0.000638
396,0.000707,0.000694,0.000818,0.000541,0.000666,0.00061,0.00061
398,0.000583,0.000624,0.000555,0.000569,0.000555,0.000624,0.00061
400,0.000569,0.00061,0.000486,0.000694,0.000486,0.000583,0.000583
402,0.00068,0.000624,0.000583,0.000361,0.000319,0.000486,0.000513
404,0.00043,0.000569,0.000375,0.000333,0.000361,0.000555,0.000652
406,0.000541,0.000583,0.00043,0.000541,0.000222,0.000375,0.000513
408,0.000499,0.000541,0.000486,0.000388,0.000472,0.000513,0.000375
410,0.000375,0.000596,0.000361,0.00061,0.000513,0.000444,0.000721
412,0.000444,0.000527,0.000486,0.000596,0.000583,0.000555,0.000527
414,0.000361,0.000527,0.000472,0.000499,0.000486,0.000513,0.000499
416,0.000277,0.000624,0.000472,0.00043,0.000444,0.000541,0.000638
418,0.000236,0.000569,0.000472,0.000388,0.000388,0.000388,0.000472
420,0.000277,0.000486,0.000291,0.000347,0.000472,0.000444,0.000444
422,0.000319,0.000444,0.000416,0.000347,0.000222,0.000361,0.000319
424,0.000319,0.000305,0.000264,0.000291,0.000333,0.000361,0.000319
426,0.000291,0.000277,0.000222,0.000264,0.000264,0.000333,0.000388
428,0.000291,0.000264,0.000277,0.000222,0.000319,0.000347,0.000319
430,0.000277,0.000264,0.000305,0.000277,0.000472,0.000305,0.00043
432,0.000347,0.000375,0.00025,0.000208,0.000388,0.000361,0.000361
434,0.000277,0.000361,0.000319,0.000194,0.000375,0.000236,0.000375
436,0.000153,0.000305,0.000388,0.000319,0.000333,0.000264,0.000416
438,0.000277,0.000277,0.000305,0.000277,0.000305,0.000222,0.00025
440,0.000291,0.000361,0.000222,0.000222,0.00025,0.000236,0.00018
442,0.000333,0.000361,0.000305,0.000153,0.000291,0.00018,0.000208
444,0.000333,0.000388,0.000236,0.000236,0.00025,0.000277,0.000333
446,0.000153,0.000277,0.000388,0.000222,0.000194,0.000208,0.00025
448,0.00043,0.000166,0.00018,0.00025,0.000264,0.00018,0.000277
450,0.000319,0.000139,0.00025,0.000125,0.000208,0.000194,0.000291
452,0.000291,0.000277,0.000166,0.000277,0.000319,0.000153,0.000166
454,0.000305,0.00018,0.000097,0.000208,0.00025,0.00025,0.000291
456,0.000291,0.00018,0.000236,0.000139,0.000208,0.00025,0.000111
458,0.000333,0.000264,0.000222,0.000222,0.000277,0.000208,0.00025
460,0.000402,0.00025,0.000333,0.000277,0.000486,0.00025,0.000361
462,0.000291,0.000208,0.000208,0.000291,0.000139,0.000222,0.000277
464,0.000291,0.000277,0.000166,0.000236,0.000291,0.00025,0.000194
466,0.000444,0.000402,0.000291,0.000291,0.000153,0.000222,0.000166
468,0.000375,0.000361,0.000361,0.000264,0.000208,0.000208,0.000277
470,0.000402,0.000305,0.000319,0.000416,0.000347,0.000416,0.000264
472,0.000361,0.000624,0.000596,0.000499,0.000347,0.000486,0.000319
474,0.000388,0.000832,0.000583,0.000361,0.000486,0.000402,0.000555
476,0.000375,0.000513,0.000486,0.000361,0.000458,0.000444,0.000707
478,0.00018,0.000527,0.000707,0.000513,0.000347,0.000277,0.000458
480,0.000513,0.000499,0.00043,0.000361,0.000513,0.000416,0.000305
482,0.000555,0.00043,0.000347,0.000347,0.000499,0.000347,0.000347
484,0.000888,0.000361,0.000305,0.000388,0.000264,0.000333,0.00025
486,0.00129,0.000416,0.000388,0.000236,0.000277,0.000264,0.000402
488,0.001151,0.000333,0.000291,0.000305,0.000277,0.000291,0.000402
490,0.001484,0.000375,0.000569,0.000388,0.000458,0.000458,0.000541
492,0.001276,0.000735,0.000527,0.000486,0.000569,0.000416,0.000569
494,0.001207,0.000569,0.000375,0.000527,0.000388,0.000486,0.00043
496,0.001193,0.000458,0.000583,0.000527,0.000513,0.000527,0.000541
498,0.001332,0.000583,0.000333,0.000375,0.000361,0.000569,0.000388
500,0.001346,0.000486,0.000319,0.000527,0.000458,0.000472,0.000444
502,0.001318,0.000555,0.000499,0.000527,0.000596,0.000416,0.000499
504,0.001567,0.000499,0.000916,0.000707,0.000569,0.000555,0.000486
506,0.001609,0.000777,0.000735,0.000416,0.000638,0.00061,0.000721
508,0.001443,0.000513,0.000513,0.000694,0.00061,0.000486,0.000638
510,0.001359,0.000791,0.000624,0.00043,0.000694,0.000375,0.000707
512,0.001124,0.000541,0.00043,0.000555,0.00043,0.000527,0.000721
