,0,400,800,1200,1600,2000,
616,0,0.000166,0.000139,0.000125,0.000166,0.000153,0.000153
618,0,0.000028,0.000139,0.000083,0.000055,0.000097,0.000153
620,0.000042,0.000042,0.000028,0.000055,0.000097,0.000055,0.000055
622,0,0.000097,0.00018,0.000166,0.000083,0.000139,0.000055
624,0,0.000125,0.00018,0.000139,0.000125,0.000208,0.000097
626,0,0.000139,0.000139,0.00018,0.000222,0.000139,0.000139
628,0.000069,0.000166,0.000083,0.000055,0.000277,0.000097,0.000083
630,0.000028,0.000097,0.000083,0.000097,0.000153,0.000111,0.000166
632,0.000014,0.000139,0.000111,0.000083,0.000139,0.000055,0.000097
634,0.000028,0.000111,0,0.000055,0.000097,0.000083,0.000111
636,0.000014,0.000055,0.000014,0.000042,0.000055,0.000055,0.000069
638,0.000028,0.000042,0.000014,0.000097,0.000139,0.000083,0.000097
640,0,0.000069,0.000055,0.000055,0.000055,0.000097,0.000111
642,0,0.000069,0.000069,0.000028,0.000083,0.000055,0.000042
644,0.000014,0.000055,0.000055,0.000083,0.000042,0.000069,0.000042
646,0,0.000028,0.000028,0.000069,0.000042,0.000153,0.000055
648,0,0.000055,0.000028,0.000055,0.000042,0.000028,0.000069
650,0,0.000042,0.000028,0.000055,0.000042,0.000055,0.000083
652,0,0.000014,0.000014,0.000055,0.000055,0.000055,0.000069
654,0,0.000028,0.000069,0.000028,0.000028,0.000097,0.000042
656,0,0.000055,0.000014,0.000042,0.000014,0.000028,0.000083
658,0,0.000014,0.000042,0.000042,0.000083,0.000083,0.000055
660,0,0.000028,0,0.000014,0.000055,0.000055,0.000055
662,0,0.000014,0.000014,0.000028,0.000083,0.000042,0.000055
664,0,0.000153,0.000069,0.000125,0.000139,0.000055,0.000014
666,0,0.000125,0.000111,0.000125,0.00018,0.000125,0.000097
668,0,0.000153,0.000069,0.000083,0.000166,0.000111,0.000125
670,0,0.000083,0.000042,0.000083,0.000069,0.000125,0.000153
672,0,0.000028,0.000055,0.000055,0.000042,0.000069,0.000069
674,0,0.000055,0.000042,0.000083,0.000069,0.000042,0.000069
676,0,0.000055,0.000042,0.000111,0.000153,0.000042,0.000111
678,0,0.000069,0.000055,0.000055,0.000111,0.000083,0.000111
680,0,0.000055,0.000139,0.000153,0.000083,0.000111,0.000097
682,0,0.000042,0.000083,0.000097,0.000139,0.000042,0.000069
684,0,0.000042,0.000055,0.000069,0.000042,0.000055,0.000139
686,0,0.000028,0.000042,0.000042,0.000028,0.000055,0.000042
688,0,0.000042,0.000028,0,0.000014,0.000069,0.000111
690,0,0.000028,0.000014,0.000028,0.000111,0.000028,0.000055
692,0,0.000069,0.000083,0.000014,0.000014,0.000055,0.000042
694,0,0.000014,0.000069,0.000028,0.000042,0,0.000055
696,0,0.000028,0.000014,0.000042,0.000055,0.000042,0.000055
698,0,0.000042,0.000069,0.000042,0.000042,0.000042,0.000083
700,0,0.000028,0.000028,0.000014,0.000028,0.000042,0.000028
702,0,0.000042,0.000055,0.000083,0.000139,0.000083,0.000055
704,0,0.000014,0.000014,0.000028,0.000083,0.000042,0.000028
706,0,0.000028,0.000069,0.000055,0.000028,0.000055,0.000028
708,0,0.000042,0.000055,0.000042,0.000111,0,0.000055
710,0,0.000055,0.000042,0.000083,0.000097,0.000028,0.000042
712,0,0.000083,0.000069,0.000153,0.000055,0.000028,0.000042
714,0,0.000069,0.000055,0,0.000028,0.000028,0.000042
716,0,0.000014,0,0.000014,0.000014,0.000042,0.000055
718,0,0.000028,0.000014,0.000055,0.000042,0.000014,0.000042
720,0,0.000014,0.000014,0.000014,0.000014,0.000055,0.000014
722,0,0.000014,0.000014,0,0.000028,0.000014,0.000028
724,0,0.000014,0.000028,0.000028,0.000028,0.000042,0.000083
726,0,0.000014,0.000042,0.000042,0.000014,0.000014,0.000042
728,0,0.000014,0.000028,0,0.000014,0.000028,0.000028
730,0,0.000014,0.000042,0,0.000014,0.000055,0.000014
732,0,0,0.000028,0.000028,0.000014,0.000014,0.000069
734,0,0.000055,0,0.000097,0.000028,0.000028,0.000069
736,0,0,0.000014,0.000042,0.000069,0.000069,0.000042
738,0,0.000028,0.000042,0.000042,0.000014,0.000055,0.000042
740,0,0.000014,0.000042,0.000014,0.000042,0.000014,0.000014
742,0,0.000028,0.000014,0.000042,0.000014,0.000028,0.000055
744,0,0.000028,0,0,0.000014,0.000028,0.000055
746,0,0.000014,0,0.000014,0,0.000028,0.000028
748,0,0.000014,0.000014,0,0.000028,0,0.000042
750,0,0.000042,0,0.000014,0.000028,0,0.000014
752,0,0.000014,0.000028,0.000042,0,0,0.000042
754,0,0.000014,0.000014,0.000014,0,0.000028,0.000028
756,0,0.000014,0.000014,0.000014,0,0.000028,0.000042
758,0,0.000055,0.000028,0.000014,0.000042,0.000028,0.000028
760,0,0.000014,0,0,0.000042,0.000042,0.000069
762,0,0,0.000042,0.000042,0.000028,0.000014,0.000014
764,0,0.000042,0.000042,0.000014,0.000028,0.000042,0
766,0,0,0.000028,0,0.000014,0.000028,0.000055
768,0,0.000014,0,0.000014,0.000014,0.000042,0.000014
770,0,0,0.000014,0,0.000014,0,0.000055
772,0,0.000042,0.000014,0.000028,0.000028,0.000028,0.000014
774,0,0.000014,0.000028,0,0.000028,0.000042,0.000028
776,0,0.000028,0,0.000014,0.000042,0.000055,0.000028
778,0,0.000069,0.000014,0.000028,0.000097,0.000055,0.000055
780,0,0.000069,0.000042,0.000014,0.000014,0.000042,0.000055
782,0,0.000014,0,0.000014,0.000028,0.000055,0.000042
784,0,0.000014,0,0,0,0.000028,0.000042
786,0,0,0,0,0,0.000014,0
788,0,0.000014,0.000042,0.000014,0,0,0.000028
790,0,0.000028,0,0.000014,0,0.000014,0.000042
792,0,0,0.000042,0.000028,0,0.000014,0.000028
794,0,0,0.000014,0.000014,0.000014,0.000055,0.000042
796,0,0.000014,0,0,0.000014,0.000028,0.000014
798,0,0,0.000014,0,0,0,0.000042
