,0,400,800,1200,1600,2000
640,0.000062,0.000069,0.000146,0.000062,0.000062,0.000146
642,0.000028,0.000049,0.000139,0.000076,0.000076,0.000069
644,0.000042,0.000055,0.000111,0.000021,0.000076,0.00009
646,0.000042,0.000049,0.000125,0.000055,0.000076,0.000097
648,0.000055,0.000069,0.000139,0.000042,0.000055,0.000069
650,0.000035,0.000049,0.000153,0.000069,0.000055,0.000062
652,0.000021,0.000042,0.000125,0.000042,0.000055,0.000076
654,0.000014,0.000042,0.000062,0.000035,0.000069,0.000139
656,0.000062,0.000049,0.00009,0.000076,0.000049,0.00009
658,0.000076,0.000028,0.000076,0.000049,0.000062,0.000069
660,0.000028,0.000028,0.000083,0.000035,0.000055,0.000062
662,0.000035,0.000055,0.000118,0.000042,0.000062,0.000139
664,0.000049,0.000035,0.000153,0.000035,0.000069,0.000139
666,0.000055,0.000042,0.000166,0.000055,0.000083,0.000111
668,0.000028,0.000062,0.00009,0.000111,0.000062,0.000104
670,0.000049,0.000049,0.000132,0.000076,0.000076,0.000104
672,0.000021,0.000083,0.000187,0.000035,0.000062,0.000083
674,0.000042,0.000062,0.00016,0.000062,0.000111,0.000118
676,0.000035,0.00009,0.000146,0.000104,0.000069,0.000132
678,0.000049,0.000083,0.000132,0.000055,0.000042,0.000111
680,0.000055,0.00009,0.000139,0.000069,0.000083,0.000104
682,0.000042,0.00009,0.000229,0.000076,0.000083,0.000111
684,0.000076,0.000062,0.000173,0.000049,0.00009,0.000139
686,0.000049,0.000097,0.000111,0.000104,0.000069,0.000097
688,0.000042,0.000118,0.00016,0.000055,0.000083,0.000139
690,0.000035,0.000083,0.000132,0.000083,0.000055,0.00018
692,0.000042,0.000083,0.000132,0.000118,0.000111,0.000076
694,0.000049,0.000062,0.000146,0.000069,0.00009,0.000139
696,0.000028,0.000076,0.000166,0.000097,0.000104,0.000104
698,0.000042,0.000076,0.000146,0.000104,0.000076,0.00009
700,0.000014,0.000076,0.00018,0.00009,0.000062,0.000083
702,0.000014,0.000069,0.000125,0.000083,0.000055,0.000104
704,0.000042,0.00009,0.000125,0.000111,0.000076,0.000139
706,0.000055,0.000097,0.000132,0.000076,0.000097,0.000097
708,0.000055,0.000042,0.000173,0.000097,0.000104,0.000111
710,0.000028,0.000083,0.000104,0.000097,0.000104,0.00009
712,0.000035,0.000062,0.000111,0.000069,0.000139,0.000062
714,0.000055,0.000062,0.00018,0.000062,0.000104,0.000097
716,0.000042,0.000083,0.00009,0.000097,0.000132,0.00009
718,0.000083,0.000062,0.000104,0.000097,0.000055,0.000104
720,0.000083,0.000118,0.000118,0.000049,0.000153,0.00016
722,0.000021,0.000069,0.000132,0.000104,0.000097,0.000083
724,0.000014,0.000069,0.000146,0.000069,0.000035,0.000111
726,0.000042,0.000069,0.000069,0.000062,0.000069,0.000153
728,0.000028,0.000062,0.000139,0.000076,0.000062,0.000139
730,0.000055,0.000111,0.000139,0.000049,0.000069,0.000139
732,0.000028,0.000042,0.000125,0.000104,0.000055,0.00016
734,0.000062,0.000049,0.000173,0.000125,0.000042,0.000097
736,0.000028,0.000042,0.000125,0.000083,0.000055,0.000055
738,0.000055,0.000069,0.000125,0.000049,0.000055,0.000076
740,0.000035,0.000069,0.000125,0.000062,0.000062,0.000097
742,0.000014,0.000055,0.000111,0.000035,0.000104,0.000076
744,0.000042,0.000028,0.000062,0.000049,0.000042,0.000083
746,0.000049,0.000042,0.000083,0.00009,0.000083,0.00009
748,0.000042,0.000042,0.000083,0.000028,0.000062,0.000028
750,0.000007,0.000035,0.000166,0.00009,0.000042,0.000125
752,0.000035,0.000035,0.000083,0.000028,0.000049,0.000076
754,0.000049,0.000035,0.000104,0.000062,0.000042,0.000028
756,0.000028,0.000028,0.000062,0.000055,0.000055,0.000076
758,0.000062,0.000062,0.000049,0.000028,0.000042,0.000055
760,0.000007,0.000069,0.000111,0.000028,0.000028,0.000055
762,0.000055,0.000014,0.00009,0.000035,0.000021,0.000055
764,0.000028,0.000028,0.000049,0.000049,0.000035,0.000062
766,0.000049,0.000049,0.000049,0.000042,0.000035,0.000062
768,0.000028,0.000021,0.000104,0.000028,0.000028,0.000062
770,0.000049,0.000049,0.000076,0.000021,0.000028,0.000021
772,0.000028,0.000028,0.000049,0.000021,0.000021,0.000035
774,0.000035,0.000035,0.000055,0.000028,0.000007,0.000042
776,0.000035,0.000028,0.000055,0.000042,0,0.000021
778,0.000035,0.000014,0.000111,0.000014,0.000021,0.000035
780,0.000042,0.000035,0.000055,0.000021,0,0.000042
782,0.000021,0.000035,0.000083,0.000035,0.000014,0.000028
784,0.000007,0.000014,0.000049,0.000028,0.000028,0.000049
786,0.000021,0.000007,0.000049,0.000021,0.000007,0.000049
788,0.000028,0.000007,0.000055,0.000028,0.000014,0.000007
790,0.000035,0.000042,0.000083,0.000007,0.000028,0.000035
792,0.000028,0.000007,0.000069,0.000007,0.000014,0.000021
794,0.000035,0.000007,0.000042,0.000007,0.000014,0.000014
796,0.000035,0.000007,0.000055,0.000014,0.000021,0.000028
798,0.000021,0.000007,0.000035,0.000021,0.000007,0.000014
