overflow 1ms,,
,over 300us,over 1ms
589,0.08126,0.010903
590,0.068602,0.005001
591,0.057512,0.000506
592,0.059738,0.00061
593,0.058788,0.00052
594,0.069927,0.002386
595,0.064898,0.005479
596,0.055022,0.000714
597,0.057304,0.00052
598,0.068567,0.005348
599,0.067687,0.001956
600,0.117555,0.00953
601,0.088411,0.005174
602,0.057366,0.00077
603,0.05806,0.000728
604,0.060792,0.000631
605,0.062922,0.002268
606,0.057865,0.000534
607,0.058136,0.000694
608,0.061992,0.00061
609,0.067097,0.000666
610,0.059364,0.000631
611,0.065967,0.002122
612,0.059697,0.000513
613,0.05627,0.000638
614,0.056367,0.000701
615,0.057526,0.000513
616,0.066771,0.001928
617,0.054828,0.000624
618,0.057019,0.000777
619,0.064905,0.004598
620,0.055341,0.000631
621,0.060543,0.000645
622,0.059301,0.002372
623,0.061965,0.000541
624,0.05901,0.00059
625,0.061562,0.000541
626,0.063511,0.005292
627,0.06983,0.002247
628,0.068013,0.005063
629,0.058441,0.000916
630,0.063719,0.00061
631,0.061202,0.000645
632,0.061139,0.000756
633,0.063643,0.001651
634,0.05335,0.000714
635,0.058406,0.000652
636,0.055355,0.000596
637,0.063352,0.000777
638,0.061264,0.00197
639,0.060446,0.000666
640,0.06005,0.000853
641,0.057075,0.000548
642,0.052962,0.000652
643,0.060071,0.00061
644,0.065155,0.001921
645,0.058094,0.000805
646,0.056208,0.000645
647,0.062429,0.000652
648,0.056541,0.000617
649,0.072791,0.00197
650,0.063053,0.000534
651,0.064024,0.000714
652,0.059918,0.000541
653,0.053253,0.000569
654,0.066813,0.004945
655,0.063546,0.002136
656,0.057061,0.00068
657,0.075725,0.008739
658,0.057116,0.000583
659,0.057394,0.000673
660,0.065592,0.001866
661,0.064267,0.00482
662,0.063047,0.000666
663,0.061958,0.000451
664,0.059072,0.000798
665,0.057165,0.000472
666,0.063803,0.002136
667,0.057435,0.000666
668,0.055875,0.000603
669,0.063872,0.005243
670,0.066209,0.005202
671,0.062797,0.001762
672,0.053676,0.000596
673,0.055681,0.000562
674,0.053094,0.000548
675,0.054626,0.000645
676,0.053711,0.000534
677,0.071668,0.006312
678,0.059121,0.000527
679,0.054765,0.00052
680,0.055542,0.000555
681,0.055417,0.000673
682,0.076405,0.00636
683,0.056007,0.000617
684,0.059267,0.000527
685,0.058393,0.000548
686,0.057005,0.000721
687,0.059058,0.000666
688,0.085102,0.011319
689,0.057678,0.000534
690,0.056,0.00061
691,0.058621,0.000576
692,0.065932,0.004682
693,0.067423,0.001526
694,0.061951,0.000701
695,0.059287,0.000465
696,0.063768,0.004522
697,0.063178,0.000527
698,0.057637,0.000492
699,0.067007,0.00188
700,0.065516,0.004682
701,0.060591,0.000617
702,0.056347,0.000617
703,0.074428,0.007151
704,0.069088,0.002268
705,0.073651,0.011285
706,0.067257,0.004855
707,0.05265,0.000694
708,0.064191,0.000603
709,0.0572,0.000624
710,0.072639,0.006228
711,0.055819,0.00052
712,0.064947,0.005049
713,0.064559,0.000638
714,0.064857,0.00593
715,0.057442,0.000631
716,0.072042,0.007123
717,0.054009,0.000576
718,0.059426,0.000617
719,0.065328,0.005396
720,0.059981,0.000617
721,0.070267,0.006325
722,0.054821,0.000555
723,0.058004,0.000701
724,0.055917,0.000534
725,0.064801,0.005667
726,0.056298,0.000617
727,0.06813,0.001678
728,0.091768,0.011943
729,0.101138,0.012006
730,0.081156,0.00781
731,0.07266,0.005368
