,0,400,800,1200,1600,2000
658,0.000007,0.000007,0.000014,0.000021,0.000069,0.000118
660,0,0,0.000014,0.000062,0.000049,0.000153
662,0.000007,0.000007,0.000007,0.000028,0.000083,0.000118
664,0.000007,0.000007,0,0.000042,0.000062,0.000139
666,0.000014,0.000007,0.000021,0.000049,0.00009,0.000173
668,0,0.000007,0.000007,0.000035,0.000083,0.000187
670,0,0,0,0.000035,0.000069,0.000173
672,0.000007,0,0,0.000055,0.000062,0.000118
674,0,0,0,0.000049,0.00009,0.000194
676,0,0,0.000007,0.000083,0.000062,0.000201
678,0.000007,0,0,0.000028,0.000097,0.000208
680,0,0,0,0.000049,0.000083,0.000146
682,0.000007,0,0,0.000049,0.000111,0.000194
684,0,0.000007,0,0.000049,0.00009,0.000153
686,0.000014,0.000007,0.000007,0.000062,0.000153,0.000166
688,0,0.000007,0.000014,0.000049,0.000083,0.000208
690,0.000007,0.000014,0.000007,0.000076,0.000076,0.000153
692,0,0.000007,0,0.000076,0.000118,0.000201
694,0,0,0.000007,0.000021,0.00009,0.000257
696,0,0,0,0.000083,0.000118,0.000215
698,0.000007,0,0.000014,0.000069,0.000153,0.000201
700,0,0,0,0.000069,0.00009,0.000264
702,0,0,0,0.000062,0.000146,0.00018
704,0,0.000007,0,0.000069,0.000125,0.000173
706,0.000007,0,0.000007,0.000062,0.000125,0.000166
708,0,0.000007,0,0.000042,0.000111,0.000187
710,0,0,0,0.000076,0.000069,0.000229
712,0,0,0,0.000062,0.00009,0.000166
714,0,0,0,0.000049,0.00016,0.000236
716,0,0.000007,0,0.000055,0.000055,0.000104
718,0,0.000007,0.000007,0.000083,0.000104,0.000173
720,0,0.000007,0,0.000035,0.000104,0.000229
722,0,0,0,0.000055,0.000097,0.000132
724,0.000007,0,0.000007,0.000049,0.000062,0.000222
726,0,0,0.000007,0.000062,0.000097,0.000243
728,0,0,0.000007,0.000069,0.000118,0.00025
730,0,0.000007,0.000007,0.000042,0.000069,0.000291
732,0,0,0.000007,0.000035,0.00009,0.000222
