,over 400us,over 1ms,over 1.5ms,over 2ms
1685,1.990169,0.917553,0.694975,0.541451
1690,1.986736,0.909445,0.685328,0.533801
1695,1.993519,0.913245,0.684787,0.534633
1700,2.008889,0.933394,0.704172,0.5482
1705,2.028205,0.948653,0.721137,0.564776
1710,2.029142,0.94986,0.719445,0.562404
1715,2.031874,0.95348,0.718536,0.563431
1720,2.044796,0.962185,0.727497,0.575027
1725,2.071554,0.983103,0.743852,0.582435
1730,2.039615,0.969752,0.733962,0.577413
1735,2.112344,1.022845,0.780543,0.607203
1740,2.071374,0.987084,0.745961,0.587221
1745,2.085058,0.999471,0.757162,0.597007
1750,2.10187,1.018587,0.779308,0.612287
1755,2.107967,1.027846,0.785231,0.618078
1760,2.114709,1.029746,0.78272,0.618834
1765,2.260395,1.158877,0.889983,0.660456
1770,2.356117,1.248252,0.954056,0.648284
1775,2.338077,1.231509,0.943021,0.659464
1780,2.375773,1.274539,0.972443,0.645925
1785,2.361138,1.24545,0.956331,0.67208
1790,2.297821,1.175606,0.904909,0.688435
1795,2.258814,1.160792,0.895143,0.694074
1800,2.192417,1.086578,0.829849,0.661038
1805,2.228595,1.125932,0.864355,0.682429
1810,2.21996,1.103086,0.848111,0.675597
1815,2.253113,1.134692,0.870618,0.689732
1820,2.210319,1.110618,0.862087,0.691528
1825,2.226514,1.121424,0.858994,0.686084
1830,2.196177,1.101567,0.887153,0.743484
1835,2.260264,1.154598,0.896232,0.716289
1840,2.256782,1.158759,0.926271,0.765013
1845,2.292598,1.179941,0.915479,0.731499
1850,2.278588,1.166729,0.89963,0.719258
1855,2.308384,1.202795,0.943284,0.7621
1860,2.307053,1.206436,0.936349,0.74972
1865,2.311707,1.200187,0.927734,0.743124
1870,2.323199,1.206838,0.930731,0.747806
1875,2.332264,1.228665,0.968607,0.788914
1880,2.497982,1.387308,1.076986,0.801031
1885,2.498217,1.383591,1.077416,0.801073
1890,2.47406,1.364018,1.063413,0.817011
